pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1801 b,Kepler-1801,1,2,0,Transit,2021,Kepler,0.091500,2.709,7.80000,0.98,0.94,-0.223,8.11892,73.04331
Kepler-1801 c,Kepler-1801,1,2,0,Transit,2023,Kepler,0.457200,2.910,8.80000,0.98,0.94,-0.223,8.11892,73.04331
Kepler-1802 b,Kepler-1802,1,2,0,Transit,2021,Kepler,0.066200,1.671,3.43000,0.64,0.65,-0.925,7.28213,79.26853
Kepler-1802 c,Kepler-1802,1,2,0,Transit,2021,Kepler,0.174800,2.322,6.00000,0.64,0.65,-0.925,7.28213,79.26853
Kepler-1804 b,Kepler-1804,1,1,0,Transit,2021,Kepler,0.101700,1.596,3.18000,1.67,0.93,-0.512,6.88800,80.13824
Kepler-1805 b,Kepler-1805,1,1,0,Transit,2021,Kepler,0.069900,1.545,3.00000,0.55,0.58,-1.177,15.80738,71.21319
Kepler-1806 b,Kepler-1806,1,1,0,Transit,2021,Kepler,0.081300,2.356,6.15000,0.79,0.88,-0.435,17.54556,80.50295
Kepler-1807 b,Kepler-1807,1,1,0,Transit,2021,Kepler,0.098800,2.704,7.77000,1.50,1.09,0.603,12.93792,76.62177
Kepler-1808 b,Kepler-1808,1,1,0,Transit,2021,Kepler,0.146700,3.025,9.40000,0.89,0.77,-0.062,13.65968,70.46160
Kepler-1809 b,Kepler-1809,1,1,0,Transit,2021,Kepler,0.043500,1.513,2.90000,0.72,0.81,-0.471,12.07928,72.52602
Kepler-181 b,Kepler-181,1,2,0,Transit,2014,Kepler,0.040000,1.270,2.15000,0.75,0.85,-0.379,12.62270,83.15616
Kepler-181 c,Kepler-181,1,2,0,Transit,2014,Kepler,0.049000,1.990,4.62000,0.75,0.85,-0.379,12.62270,83.15616
Kepler-1810 b,Kepler-1810,1,1,0,Transit,2021,Kepler,0.413700,3.918,14.60000,1.02,0.92,-0.158,9.91962,70.81439
