pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
K2-285 d,K2-285,1,4,0,Transit,2018,K2,0.117800,2.480,6.50000,0.79,0.83,-0.422,-53.68469,80.67491
K2-285 e,K2-285,1,4,0,Transit,2018,K2,0.180410,1.950,10.70000,0.79,0.83,-0.422,-53.68469,80.67491
K2-286 b,K2-286,1,1,0,Transit,2018,K2,0.176800,2.100,5.06000,0.62,0.64,-1.046,31.08201,349.50145
K2-287 b,K2-287,1,1,0,Transit,2018,K2,0.120600,9.494,100.11645,1.07,1.06,-0.108,27.06963,345.04347
K2-288 B b,K2-288 B,2,1,0,Transit,2018,K2,0.164000,1.900,4.27000,0.32,0.33,-1.930,-28.64052,169.99958
K2-289 b,K2-289,1,1,0,Transit,2019,K2,0.107000,9.100,61.00000,1.02,0.95,-0.505,22.45095,0.07234
K2-29 b,K2-29,2,1,0,Transit,2016,K2,0.042170,13.339,232.01590,0.86,0.94,-0.295,-19.55040,170.51373
K2-290 b,K2-290,3,2,0,Transit,2019,K2,0.092300,3.060,10.90000,1.51,1.19,0.420,27.59946,348.05236
K2-290 c,K2-290,3,2,0,Transit,2019,K2,0.305000,11.276,246.00042,1.51,1.19,0.420,27.59946,348.05236
K2-291 b,K2-291,1,1,0,Transit,2019,K2,0.032610,1.589,6.49000,0.90,0.93,-0.166,-11.58155,181.17890
K2-292 b,K2-292,1,1,0,Transit,2019,K2,0.130000,2.630,24.50000,1.09,1.00,0.093,50.98859,322.75465
K2-293 b,K2-293,1,1,0,Transit,2019,K2,,2.450,6.57000,0.95,0.96,-0.180,-60.78063,75.33161
K2-294 b,K2-294,1,1,0,Transit,2019,K2,,1.660,3.39000,1.20,0.99,0.088,-62.24683,73.80612
K2-295 b,K2-295,1,1,0,Transit,2018,K2,0.045100,10.054,106.47305,0.70,0.74,-0.716,-55.43141,134.80295
K2-3 b,K2-3,1,3,0,Transit,2015,K2,0.074700,2.078,5.11000,0.55,0.55,-1.231,55.25008,264.98752
K2-3 c,K2-3,1,3,0,Transit,2015,K2,0.135700,1.582,2.68000,0.55,0.55,-1.231,55.25008,264.98752
K2-3 d,K2-3,1,3,0,Transit,2015,K2,0.201400,1.458,2.20000,0.55,0.55,-1.231,55.25008,264.98752
K2-30 b,K2-30,1,1,0,Transit,2016,K2,0.048390,11.646,184.02357,0.84,0.90,-0.256,-27.54962,164.50146
K2-308 b,K2-308,1,1,0,Transit,2019,K2,,9.916,70.60000,1.24,1.09,0.283,-13.02961,186.54290
K2-31 b,K2-31,2,1,0,Transit,2016,K2,0.022000,11.882,563.83042,0.78,0.91,-0.110,18.27513,352.99471
K2-312 c,HD 80653,1,2,0,Radial Velocity,2023,Roque de los Muchachos Observatory,1.961000,12.800,1719.45168,1.22,1.18,0.232,39.62439,216.49965
K2-315 b,K2-315,1,1,0,Transit,2020,K2,,0.950,0.80900,0.20,0.17,-2.387,31.76781,342.43152
K2-316 b,K2-316,1,2,0,Transit,2020,K2,0.014700,1.330,2.33000,0.38,0.41,-1.830,26.05405,344.82551
K2-316 c,K2-316,1,2,0,Transit,2020,K2,0.058200,1.830,4.01000,0.38,0.41,-1.830,26.05405,344.82551
K2-317 b,K2-317,1,1,0,Transit,2020,K2,0.054200,2.930,8.91000,0.38,0.40,-1.871,30.70086,342.30740
K2-318 b,K2-318,1,1,0,Transit,2020,K2,0.091100,1.660,3.39000,0.55,0.56,-1.277,31.08939,348.12324
K2-319 b,K2-319,1,1,0,Transit,2020,K2,0.151600,2.790,8.20000,0.90,0.95,-0.237,55.34330,252.45100
K2-32 b,K2-32,2,4,0,Transit,2016,K2,0.079500,5.299,15.00000,0.86,0.83,-0.296,15.80164,0.54581
K2-32 c,K2-32,2,4,0,Transit,2016,K2,0.138430,3.134,8.10000,0.86,0.83,-0.488,15.80164,0.54581
K2-32 d,K2-32,2,4,0,Transit,2016,K2,0.184220,3.484,6.70000,0.86,0.83,-0.488,15.80164,0.54581
K2-32 e,K2-32,2,4,0,Transit,2019,K2,0.048990,1.212,2.10000,0.86,0.83,-0.488,15.80164,0.54581
K2-320 b,K2-320,1,1,0,Transit,2020,K2,0.014200,2.620,7.37000,0.30,0.12,-2.125,54.35434,245.35216
K2-321 b,K2-321,1,1,0,Transit,2020,K2,0.041000,1.950,4.46000,0.58,0.60,-1.254,47.32067,241.80874
K2-322 b,K2-322,1,1,0,Transit,2020,K2,0.059400,1.920,4.35000,0.60,0.63,-1.039,48.87164,239.34592
K2-323 b,K2-323,1,1,0,Transit,2020,K2,0.127500,2.100,5.06000,0.55,0.48,-1.339,52.01163,240.07252
K2-324 b,K2-324,1,1,0,Transit,2020,K2,0.033100,2.430,6.48000,0.51,0.52,-1.333,50.91389,237.62638
K2-325 b,K2-325,1,1,0,Transit,2020,K2,0.041900,2.200,5.48000,0.30,0.27,-2.048,-63.53633,76.71995
K2-326 b,K2-326,1,1,0,Transit,2020,K2,0.019800,2.280,5.82000,0.69,0.51,-0.978,-54.94703,83.82219
K2-329 b,K2-329,1,1,0,Transit,2020,K2,0.101600,8.676,82.63580,0.82,0.90,-0.325,-59.82170,75.76637
K2-33 b,K2-33,1,1,0,Transit,2016,K2,0.040900,5.040,1175.97100,1.05,0.56,-0.824,23.10048,354.42038
K2-330 b,K2-330,1,1,0,Transit,2016,K2,,2.770,8.10000,1.50,1.23,0.477,26.56700,213.05470
K2-331 b,K2-331,1,2,0,Transit,2021,K2,,1.790,3.86000,1.06,1.10,0.059,32.38370,214.18022
K2-331 c,K2-331,1,2,0,Transit,2018,K2,,2.720,7.85000,1.06,1.10,0.059,32.38370,214.18022
K2-332 b,K2-332,1,1,0,Transit,2016,K2,,2.200,5.48000,0.28,0.27,-2.065,35.61620,214.46699
K2-333 b,K2-333,1,1,0,Transit,2018,K2,,6.180,31.60000,1.22,1.06,0.165,36.79663,213.80335
K2-334 b,K2-334,1,1,0,Transit,2018,K2,,5.650,27.20000,1.49,1.36,0.514,36.95589,212.37147
K2-335 b,K2-335,1,1,0,Transit,2016,K2,,2.210,5.52000,1.33,1.23,0.395,30.71655,209.07458
K2-336 b,K2-336,1,1,0,Transit,2016,K2,,1.220,1.98000,0.80,0.86,-0.345,34.77150,210.66771
K2-337 b,K2-337,1,1,0,Transit,2016,K2,,2.620,7.37000,1.32,0.94,0.250,29.41388,207.99120
K2-338 b,K2-338,1,1,0,Transit,2016,K2,,1.030,1.08000,0.63,0.66,-0.836,26.44954,206.47017
K2-339 b,K2-339,1,1,0,Transit,2019,K2,,1.920,4.35000,0.72,0.74,-0.652,32.12682,206.99140
K2-34 b,K2-34,1,1,0,Transit,2016,K2,0.044200,13.750,539.67534,1.42,1.16,0.400,31.13427,202.13873
K2-340 b,K2-340,1,1,0,Transit,2016,K2,,3.360,11.20000,1.13,0.93,-0.002,30.36616,205.72851
K2-341 b,K2-341,1,1,0,Transit,2018,K2,,3.210,10.40000,1.16,0.98,0.126,32.92129,205.79387
K2-342 b,K2-342,1,1,0,Transit,2018,K2,,2.030,4.78000,1.09,1.01,0.093,35.67859,205.27646
K2-343 b,K2-343,1,2,0,Transit,2019,K2,,1.650,3.36000,0.46,0.49,-1.439,36.71614,205.36595
K2-343 c,K2-343,1,2,0,Transit,2018,K2,,2.020,4.74000,0.46,0.49,-1.439,36.71614,205.36595
K2-344 b,K2-344,1,1,0,Transit,2018,K2,,1.590,3.15000,0.49,0.51,-1.225,38.67456,205.96370
K2-345 b,K2-345,1,1,0,Transit,2016,K2,,2.110,5.10000,0.52,0.56,-1.320,35.48996,204.48349
K2-346 b,K2-346,1,1,0,Transit,2016,K2,,2.260,5.73000,0.70,0.71,-0.663,29.88541,201.10805
K2-347 b,K2-347,1,1,0,Transit,2016,K2,,2.410,6.39000,0.63,0.66,-0.894,30.42848,200.54899
K2-348 b,K2-348,1,2,0,Transit,2018,K2,,3.260,10.70000,0.85,0.83,-0.388,34.69497,200.78923
K2-348 c,K2-348,1,2,0,Transit,2018,K2,,2.670,7.61000,0.85,0.83,-0.388,34.69497,200.78923
K2-349 b,K2-349,1,1,0,Transit,2016,K2,,1.380,2.48000,0.49,0.54,-0.366,47.98798,311.98055
K2-35 b,K2-35,1,2,0,Transit,2016,K2,0.031000,1.320,2.30000,0.62,0.70,-0.803,56.17437,258.92870
K2-35 c,K2-35,1,2,0,Transit,2016,K2,0.055000,1.930,4.38000,0.62,0.70,-0.719,56.17437,258.92870
K2-350 b,K2-350,1,2,0,Transit,2021,K2,,1.540,2.99000,1.04,0.98,-0.012,47.45593,319.08050
K2-350 c,K2-350,1,2,0,Transit,2016,K2,,2.740,7.95000,1.04,0.98,-0.012,47.45593,319.08050
K2-351 b,K2-351,1,1,0,Transit,2016,K2,,2.540,6.99000,1.05,1.02,0.024,48.82989,323.69493
K2-352 b,K2-352,1,3,0,Transit,2021,K2,,1.370,2.45000,0.95,0.98,-0.063,41.24964,211.54865
K2-352 c,K2-352,1,3,0,Transit,2018,K2,,1.920,4.35000,0.95,0.98,-0.063,41.24964,211.54865
K2-352 d,K2-352,1,3,0,Transit,2018,K2,,2.230,5.60000,0.95,0.98,-0.063,41.24964,211.54865
K2-353 b,K2-353,1,1,0,Transit,2021,K2,,5.550,26.30000,0.99,0.87,-0.076,59.40196,320.32185
K2-354 b,K2-354,1,1,0,Transit,2016,K2,,1.560,3.05000,0.41,0.43,-1.614,27.91033,215.64764
K2-355 b,K2-355,1,1,0,Transit,2021,K2,0.063200,2.250,5.69000,0.92,0.96,-0.115,25.31595,210.18832
K2-356 b,K2-356,1,1,0,Transit,2021,K2,0.159900,2.290,5.86000,0.86,0.90,-0.244,28.65234,211.64492
K2-357 b,K2-357,1,1,0,Transit,2021,K2,0.145000,3.720,13.40000,1.00,0.98,-0.066,32.90877,210.36881
K2-358 b,K2-358,1,1,0,Transit,2021,K2,0.086300,2.680,7.65000,0.91,0.93,-0.161,35.51836,208.19438
K2-36 b,K2-36,1,2,0,Transit,2016,K2,0.022880,1.430,4.30000,0.72,0.79,-0.570,57.73789,254.97594
K2-36 c,K2-36,1,2,0,Transit,2016,K2,0.055280,3.200,7.90000,0.72,0.79,-0.570,57.73789,254.97594
K2-365 b,K2-365,1,1,0,Transit,2022,K2,,2.906,8.78000,1.05,0.82,-0.014,24.44846,350.41528
K2-366 b,K2-366,1,1,0,Transit,2022,K2,,2.359,6.16000,0.94,0.83,-0.109,22.29893,355.16562
K2-367 b,K2-367,1,1,0,Transit,2022,K2,,2.413,6.41000,0.62,0.76,-0.854,-54.50874,48.86201
K2-368 b,K2-368,1,3,0,Transit,2022,K2,,1.332,2.34000,0.66,0.75,-0.693,-49.02284,47.88612
K2-368 c,K2-368,1,3,0,Transit,2022,K2,,1.361,2.42000,0.66,0.75,-0.693,-49.02284,47.88612
K2-368 d,K2-368,1,3,0,Transit,2022,K2,,1.948,4.45000,0.66,0.75,-0.693,-49.02284,47.88612
K2-369 b,K2-369,1,1,0,Transit,2022,K2,,1.313,2.28000,0.88,0.73,-0.121,-46.37314,46.24456
K2-37 b,K2-37,1,3,0,Transit,2016,K2,0.051100,1.610,3.22000,0.85,0.90,-0.469,18.77075,350.73677
K2-37 c,K2-37,1,3,0,Transit,2016,K2,0.065400,2.750,8.00000,0.85,0.90,-0.408,18.77075,350.73677
K2-37 d,K2-37,1,3,0,Transit,2016,K2,0.110300,2.730,7.90000,0.85,0.90,-0.469,18.77075,350.73677
K2-370 b,K2-370,1,1,0,Transit,2022,K2,,3.207,10.40000,0.97,0.98,-0.127,-19.02443,177.48995
K2-371 b,K2-371,1,1,0,Transit,2022,K2,,13.024,,0.74,0.96,-0.517,27.59317,213.62961
K2-372 b,K2-372,1,1,0,Transit,2022,K2,,2.945,8.98000,0.92,0.85,-0.122,30.59304,213.45214
K2-373 b,K2-373,1,1,0,Transit,2022,K2,,2.061,4.90000,1.49,1.16,0.432,24.05251,209.34849
K2-374 b,K2-374,1,2,0,Transit,2022,K2,,1.593,3.16000,0.91,0.73,-0.059,37.75937,212.73798
K2-374 c,K2-374,1,2,0,Transit,2022,K2,,2.213,5.53000,0.91,0.73,-0.059,37.75937,212.73798
K2-375 b,K2-375,1,1,0,Transit,2022,K2,,2.243,5.66000,1.54,1.12,0.396,33.07586,205.29926
K2-376 b,K2-376,1,1,0,Transit,2022,K2,,1.736,3.66000,1.15,0.91,0.189,36.47336,200.65632
K2-377 b,K2-377,1,1,0,Transit,2022,K2,,1.693,3.51000,0.69,0.82,-0.818,49.58463,318.17362
K2-378 b,K2-378,1,1,0,Transit,2022,K2,,2.880,8.65000,0.73,0.92,-0.567,49.93541,321.88332
K2-379 b,K2-379,1,1,0,Transit,2022,K2,,2.181,5.40000,0.75,0.86,-0.633,-12.16182,8.43581
K2-38 b,K2-38,1,2,0,Transit,2016,K2,0.050300,1.655,7.70000,1.14,1.05,0.037,22.12080,349.62852
K2-38 c,K2-38,1,2,0,Transit,2016,K2,0.095900,2.490,7.40000,1.14,1.05,0.037,22.12080,349.62852
K2-380 b,K2-380,1,1,0,Transit,2022,K2,,2.729,7.89000,1.32,0.99,0.202,-12.22360,9.18589
K2-381 b,K2-381,1,3,0,Transit,2022,K2,,1.075,1.26000,0.68,0.75,-0.739,-13.78589,16.13135
K2-381 c,K2-381,1,3,0,Transit,2022,K2,,2.000,4.66000,0.68,0.75,-0.739,-13.78589,16.13135
K2-381 d,K2-381,1,3,0,Transit,2022,K2,,1.689,3.50000,0.68,0.75,-0.739,-13.78589,16.13135
K2-382 b,K2-382,1,1,0,Transit,2022,K2,,2.072,4.95000,0.81,0.92,-0.280,-12.69181,17.17948
K2-383 b,K2-383,1,1,0,Transit,2022,K2,,1.564,3.07000,0.80,1.06,-0.397,-7.54107,16.10079
K2-384 b,K2-384,1,5,0,Transit,2022,K2,,1.076,1.26000,0.35,0.33,-1.870,-61.16767,138.93411
K2-384 c,K2-384,1,5,0,Transit,2022,K2,,1.191,1.82000,0.35,0.33,-1.870,-61.16767,138.93411
K2-384 d,K2-384,1,5,0,Transit,2022,K2,,1.392,2.52000,0.35,0.33,-1.870,-61.16767,138.93411
K2-384 e,K2-384,1,5,0,Transit,2022,K2,,1.345,2.37000,0.35,0.33,-1.870,-61.16767,138.93411
K2-384 f,K2-384,1,5,0,Transit,2022,K2,,2.222,5.57000,0.35,0.33,-1.870,-61.16767,138.93411
K2-385 b,K2-385,1,1,0,Transit,2022,K2,,1.539,2.98000,0.76,0.93,-0.519,-56.99964,122.48371
K2-386 b,K2-386,1,1,0,Transit,2022,K2,,2.320,5.99000,0.97,0.91,-0.019,-55.45458,132.48430
K2-387 b,K2-387,1,1,0,Transit,2022,K2,,7.322,42.20000,0.59,0.57,-1.239,-50.97688,133.21362
K2-388 b,K2-388,1,1,0,Transit,2022,K2,,3.660,13.00000,0.90,0.84,-0.212,-65.17333,69.32390
K2-389 b,K2-389,1,2,0,Transit,2022,K2,,2.184,5.41000,1.08,0.80,0.106,-66.17747,76.64503
K2-389 c,K2-389,1,2,0,Transit,2022,K2,,2.040,4.82000,1.08,0.80,0.106,-66.17747,76.64503
K2-39 b,K2-39,1,1,0,Transit,2016,K2,0.057080,6.277,28.60470,2.97,0.66,0.674,-52.74736,55.42682
K2-390 b,K2-390,1,1,0,Transit,2022,K2,,4.662,19.60000,0.97,0.79,-0.099,-66.12882,76.97927
K2-391 b,K2-391,1,1,0,Transit,2022,K2,,1.371,2.45000,0.57,0.76,0.391,-64.98030,80.80955
K2-392 b,K2-392,1,1,0,Transit,2022,K2,,1.850,4.08000,1.06,0.84,0.048,-63.84131,78.27990
K2-393 b,K2-393,1,1,0,Transit,2022,K2,,2.352,6.13000,1.07,0.88,0.043,-54.24391,78.06780
K2-394 b,K2-394,1,1,0,Transit,2022,K2,,1.692,3.51000,0.63,0.48,-0.858,-18.62304,182.28292
K2-395 b,K2-395,1,2,0,Transit,2022,K2,,2.597,7.26000,0.78,0.95,-0.413,-19.03751,181.74418
K2-395 c,K2-395,1,2,0,Transit,2022,K2,,3.395,11.40000,0.78,0.95,-0.413,-19.03751,181.74418
K2-396 b,K2-396,1,2,0,Transit,2022,K2,,1.579,3.12000,0.92,0.95,-0.230,-15.41489,183.77072
K2-396 c,K2-396,1,2,0,Transit,2022,K2,,3.124,9.93000,0.92,0.95,-0.230,-15.41489,183.77072
K2-397 b,K2-397,1,1,0,Transit,2022,K2,,2.417,6.42000,0.97,0.94,-0.145,-9.06294,183.30951
K2-398 b,K2-398,1,2,0,Transit,2022,K2,,2.274,5.79000,1.24,0.95,0.260,50.97268,247.80615
K2-398 c,K2-398,1,2,0,Transit,2022,K2,,5.098,22.80000,1.24,0.95,0.260,50.97268,247.80615
K2-399 b,K2-399,1,1,0,Transit,2022,K2,,6.049,30.50000,1.54,0.78,0.415,48.43336,243.70386
K2-4 b,K2-4,1,1,0,Transit,2015,K2,0.078000,2.100,5.06000,0.57,0.64,-0.915,54.37609,270.75455
K2-400 b,K2-400,1,1,0,Transit,2022,K2,,1.163,1.67000,0.38,0.37,-1.748,46.54575,238.74447
K2-401 b,K2-401,1,1,0,Transit,2022,K2,,2.262,5.74000,0.68,0.87,-0.835,47.08124,238.85649
K2-402 b,K2-402,1,1,0,Transit,2022,K2,,2.678,7.65000,1.28,0.94,0.209,53.68828,241.94699
K2-403 b,K2-403,1,1,0,Transit,2022,K2,,5.333,24.60000,0.89,0.78,-0.171,57.82145,240.30179
K2-404 b,K2-404,1,1,0,Transit,2022,K2,,2.530,6.94000,0.55,0.55,-1.239,56.06700,232.59266
K2-405 b,K2-405,1,1,0,Transit,2022,K2,,4.569,18.90000,0.77,1.03,-0.488,59.60760,235.97962
K2-406 b,K2-406,1,1,0,Transit,2022,K2,,4.602,19.20000,0.96,0.80,-0.060,25.98051,341.18993
K2-407 b,K2-407,1,2,0,Transit,2022,K2,,1.283,2.19000,0.93,0.88,-0.127,26.87929,344.16455
K2-407 c,K2-407,1,2,0,Transit,2022,K2,,1.360,2.42000,0.93,0.88,-0.127,26.87929,344.16455
K2-408 b,K2-408,1,1,0,Transit,2022,K2,,1.677,3.45000,0.78,0.81,-0.330,33.75085,344.09333
K2-409 b,K2-409,1,1,0,Transit,2022,K2,,2.482,6.72000,1.23,0.89,0.172,34.47507,345.58112
K2-411 b,K2-411,1,1,0,Transit,2022,K2,0.051100,0.990,0.93700,1.38,1.02,0.258,-26.15051,171.08440
K2-412 b,K2-412,1,1,0,Transit,2022,K2,0.058600,2.116,5.13000,0.98,0.89,-0.071,-11.70195,181.05077
K2-413 b,K2-413,1,2,0,Transit,2022,K2,0.011700,0.760,0.36300,0.70,0.81,-0.833,-63.15691,75.99216
K2-413 c,K2-413,1,2,0,Transit,2022,K2,0.042600,1.233,2.05000,0.70,0.81,-0.833,-63.15691,75.99216
K2-414 b,K2-414,1,2,0,Transit,2022,K2,0.048700,1.219,1.98000,0.73,0.81,-0.705,-59.71963,77.23860
K2-414 c,K2-414,1,2,0,Transit,2022,K2,0.055200,1.929,4.38000,0.73,0.81,-0.705,-59.71963,77.23860
K2-415 b,K2-415,1,1,0,Transit,2023,K2,0.027000,1.015,7.50000,0.20,0.16,-2.455,35.80871,217.79828
K2-416 b,K2-416,1,1,0,Transit,2023,K2,0.088000,2.660,1652.70772,0.55,0.55,-1.270,-58.57188,72.95364
K2-417 b,K2-417,1,1,0,Transit,2023,K2,0.063000,3.310,699.22250,0.58,0.57,-1.202,-62.60382,67.19660
K2-42 b,K2-42,1,1,0,Transit,2016,K2,0.061700,2.150,5.27000,0.64,0.70,-0.703,54.10491,274.65511
K2-43 b,K2-43,1,2,0,Transit,2016,K2,0.037840,4.510,18.50000,0.54,0.57,-1.212,51.36053,262.89727
K2-43 c,K2-43,1,2,0,Transit,2019,K2,,2.420,6.44000,0.54,0.57,-1.212,51.36053,262.89727
K2-44 b,K2-44,1,1,0,Transit,2016,K2,0.060000,2.433,6.50000,1.58,1.15,0.430,55.22474,268.46993
K2-45 b,K2-45,1,1,0,Transit,2016,K2,0.022400,6.710,36.40000,0.45,0.50,-0.740,53.45096,261.48531
K2-46 b,K2-46,1,1,0,Transit,2016,K2,0.138210,2.050,4.86000,1.29,0.96,0.413,56.74212,267.38763
K2-47 b,K2-47,1,1,0,Transit,2016,K2,0.177900,1.890,4.23000,0.76,0.75,-0.482,56.35130,255.10364
K2-48 b,K2-48,1,1,0,Transit,2016,K2,0.134400,2.240,5.65000,0.73,0.77,-0.657,61.27399,266.19266
K2-49 b,K2-49,1,1,0,Transit,2016,K2,0.030900,1.930,4.38000,0.45,0.51,-0.774,62.07020,268.11860
K2-5 b,K2-5,1,2,0,Transit,2015,K2,0.053200,1.910,4.31000,0.57,0.61,-1.083,53.17264,261.14380
K2-5 c,K2-5,1,2,0,Transit,2015,K2,0.081800,2.260,5.73000,0.57,0.61,-1.083,53.17264,261.14380
K2-50 b,K2-50,1,2,0,Transit,2016,K2,0.070500,1.590,3.15000,0.55,0.61,-0.874,59.32248,252.27127
K2-52 b,K2-52,1,1,0,Transit,2016,K2,0.054000,18.000,45700.00000,2.19,1.69,0.027,16.53234,352.62682
K2-53 b,K2-53,1,1,0,Transit,2016,K2,0.098000,2.600,7.27000,0.81,0.85,-0.579,21.27273,354.63158
K2-54 b,K2-54,1,1,0,Transit,2016,K2,0.067100,1.150,1.60000,0.38,0.42,-1.011,-56.53533,42.19002
K2-55 b,K2-55,1,1,0,Transit,2016,K2,0.034860,3.820,14.00000,0.63,0.70,-0.784,-52.63220,39.93320
K2-57 b,K2-57,1,1,0,Transit,2016,K2,0.074600,2.100,5.06000,0.62,0.68,-0.830,-59.00541,51.74160
K2-58 b,K2-58,1,3,0,Transit,2016,K2,0.069200,2.680,7.65000,0.86,0.89,-0.398,-51.37977,44.72122
K2-58 c,K2-58,1,3,0,Transit,2016,K2,0.035000,1.620,3.26000,0.86,0.89,-0.412,-51.37977,44.72122
K2-58 d,K2-58,1,3,0,Transit,2016,K2,0.151700,1.710,3.57000,0.86,0.89,-0.412,-51.37977,44.72122
K2-59 b,K2-59,1,2,0,Transit,2016,K2,0.135400,2.410,6.39000,0.73,0.77,-0.660,-55.79751,48.55544
K2-59 c,K2-59,1,2,0,Transit,2016,K2,0.090500,2.300,5.90000,0.73,0.77,-0.660,-55.79751,48.55544
K2-6 b,K2-6,1,1,0,Transit,2015,K2,0.189800,2.500,6.80000,0.96,0.97,-0.120,58.34897,274.08780
K2-60 b,K2-60,1,1,0,Transit,2016,K2,0.045000,7.656,135.39558,1.12,0.97,0.282,-55.37019,48.74576
K2-61 b,K2-61,1,1,0,Transit,2016,K2,0.039200,2.480,6.71000,1.36,1.21,-0.015,-56.20059,49.89609
K2-62 b,K2-62,1,2,0,Transit,2016,K2,0.063600,2.140,5.22000,0.73,0.77,-0.727,-50.99807,47.74962
K2-62 c,K2-62,1,2,0,Transit,2016,K2,0.114800,2.140,5.22000,0.73,0.77,-0.781,-50.99807,47.74962
K2-63 b,K2-63,1,2,0,Transit,2016,K2,0.162700,3.220,10.50000,1.63,1.40,0.219,-50.13301,47.23492
K2-63 c,K2-63,1,2,0,Transit,2016,K2,0.189000,3.900,14.50000,1.63,1.40,0.219,-50.13301,47.23492
K2-64 b,K2-64,1,1,0,Transit,2016,K2,0.061900,2.070,4.94000,0.73,0.74,-0.234,-48.95754,47.37604
K2-65 b,K2-65,1,1,0,Transit,2016,K2,0.101400,1.580,3.12000,0.84,0.87,-0.328,-49.40152,48.62762
K2-66 b,K2-66,1,1,0,Transit,2016,K2,0.059830,2.490,21.30000,1.67,1.11,0.506,-47.84963,47.69523
K2-68 b,K2-68,1,1,0,Transit,2016,K2,0.070800,1.580,3.12000,0.68,0.73,-0.673,-49.91405,49.71413
K2-69 b,K2-69,1,1,0,Transit,2016,K2,0.059100,2.320,5.99000,0.49,0.55,-1.356,-51.35123,51.18290
K2-7 b,K2-7,1,1,0,Transit,2015,K2,0.181400,2.670,7.61000,0.96,0.97,0.405,52.45583,257.43436
K2-70 b,K2-70,1,1,0,Transit,2016,K2,0.111200,2.890,8.70000,0.93,0.94,-0.429,-53.41599,54.04170
K2-71 b,K2-71,1,1,0,Transit,2016,K2,0.055900,2.150,5.27000,0.43,0.48,-1.519,-55.96960,57.39839
K2-72 b,K2-72,1,4,0,Transit,2016,K2,0.040000,1.080,1.28000,0.33,0.27,-1.837,-49.94032,51.46106
K2-72 c,K2-72,1,4,0,Transit,2016,K2,0.078000,1.160,1.65000,0.33,0.27,-1.837,-49.94032,51.46106
K2-72 d,K2-72,1,4,0,Transit,2016,K2,0.050000,1.010,1.01000,0.33,0.27,-1.837,-49.94032,51.46106
K2-72 e,K2-72,1,4,0,Transit,2016,K2,0.106000,1.290,2.21000,0.33,0.27,-1.837,-49.94032,51.46106
K2-73 b,K2-73,1,1,0,Transit,2016,K2,0.076190,2.450,6.57000,1.06,1.05,0.076,-49.98864,52.52090
K2-74 b,K2-74,1,1,0,Transit,2016,K2,0.140200,2.310,5.95000,0.98,0.96,0.060,-53.84042,57.29683
K2-75 b,K2-75,1,2,0,Transit,2016,K2,0.081000,2.670,7.61000,1.56,1.16,0.349,-52.25345,57.96683
K2-75 c,K2-75,1,2,0,Transit,2016,K2,0.142900,2.770,8.10000,1.56,1.16,0.349,-52.25345,57.96683
K2-77 b,K2-77,1,1,0,Transit,2016,K2,0.076000,2.300,603.87700,0.76,0.80,-0.500,-32.85522,174.46686
K2-79 b,K2-79,1,1,0,Transit,2016,K2,0.098800,4.090,9.20000,1.27,1.07,0.018,-32.17090,173.69037
K2-8 b,K2-8,1,2,0,Transit,2015,K2,0.085600,3.580,12.50000,0.74,0.78,-0.553,54.74227,260.18944
K2-8 c,K2-8,1,2,0,Transit,2016,K2,0.053200,2.410,6.39000,0.74,0.78,-0.583,54.74227,260.18944
K2-80 b,K2-80,1,3,0,Transit,2016,K2,0.135000,2.010,4.70000,0.87,0.90,-0.432,-29.48306,176.61237
K2-80 c,K2-80,1,3,0,Transit,2016,K2,0.059600,1.470,2.76000,0.87,0.90,-0.432,-29.48306,176.61237
K2-80 d,K2-80,1,3,0,Transit,2018,K2,,2.552,7.04000,0.84,0.91,-0.432,-29.48306,176.61237
K2-81 b,K2-81,1,1,0,Transit,2016,K2,0.059000,1.970,4.54000,0.63,0.75,-0.569,-29.93683,174.63465
K2-83 b,K2-83,1,2,0,Transit,2016,K2,0.030140,1.244,2.08000,0.42,0.48,-1.204,-27.51381,175.58174
K2-83 c,K2-83,1,2,0,Transit,2016,K2,0.071310,1.483,2.80000,0.42,0.48,-1.204,-27.51381,175.58174
K2-84 b,K2-84,1,2,0,Transit,2016,K2,0.066500,2.410,6.39000,0.93,0.95,-0.423,-29.57966,171.58123
K2-84 c,K2-84,1,2,0,Transit,2016,K2,0.176800,2.030,4.78000,0.93,0.95,-0.423,-29.57966,171.58123
K2-85 b,K2-85,1,1,0,Transit,2016,K2,0.013000,1.200,1.87000,0.68,0.68,-0.812,-25.81964,172.89825
K2-86 b,K2-86,1,1,0,Transit,2016,K2,0.077000,1.960,4.50000,0.76,0.79,-0.386,-30.83100,166.55171
K2-87 b,K2-87,1,1,0,Transit,2016,K2,0.094000,7.600,44.90000,1.40,1.16,-0.098,-20.81553,177.29046
K2-88 b,K2-88,1,1,0,Transit,2016,K2,0.034500,1.230,2.04000,0.26,0.26,-1.545,-28.46409,168.79229
K2-89 b,K2-89,1,1,0,Transit,2016,K2,0.014620,0.615,0.17000,0.32,0.35,-1.327,-25.99734,169.55248
K2-9 b,K2-9,1,1,0,Transit,2015,K2,0.091000,2.250,5.69000,0.31,0.30,-1.921,58.53482,269.75814
