284,HAT-P-60,1,1,2.20,1.44,0.809
285,HAT-P-61,1,1,0.94,1.00,-0.115
286,HAT-P-62,1,1,1.17,1.02,0.091
287,HAT-P-63,1,1,0.97,0.93,-0.146
288,HAT-P-64,1,1,1.74,1.30,0.668
289,HAT-P-65,1,1,1.86,1.21,0.555
290,HAT-P-66,1,1,1.88,1.26,0.615
291,HAT-P-67,2,1,2.55,1.64,0.939
292,HAT-P-68,1,1,0.67,0.68,-0.779
293,HAT-P-69,1,1,1.93,1.65,1.000
294,HAT-P-7,2,1,2.00,1.56,0.814
295,HAT-P-70,1,1,1.86,1.89,1.223
296,HAT-P-8,3,1,1.57,1.27,0.519
297,HAT-P-9,1,1,1.34,1.28,0.418
298,HATS-1,1,1,1.04,0.99,0.041
299,HATS-10,1,1,1.10,1.10,0.117
300,HATS-11,1,1,1.54,1.33,0.403
301,HATS-12,1,1,1.17,1.16,0.863
302,HATS-13,1,1,0.89,0.96,-0.321
303,HATS-14,1,1,0.93,0.97,-0.173
304,HATS-15,1,1,0.92,0.87,-0.204
305,HATS-16,1,1,1.24,0.97,0.173
306,HATS-17,1,1,1.09,1.13,0.093
307,HATS-18,1,1,1.02,1.04,-0.032
308,HATS-2,1,1,0.90,0.88,-0.268
309,HATS-22,1,1,0.69,0.76,-0.646
310,HATS-23,1,1,1.20,1.12,0.155
311,HATS-24,1,1,1.12,1.07,0.190
312,HATS-25,1,1,1.11,0.99,0.068
313,HATS-26,1,1,2.04,1.30,0.704
314,HATS-27,1,1,1.74,1.42,0.669
315,HATS-28,1,1,0.92,0.93,-0.157
316,HATS-29,1,1,1.07,1.03,0.029
317,HATS-3,1,1,1.40,1.21,0.456
318,HATS-30,2,1,1.06,1.09,0.097
319,HATS-31,1,1,1.87,1.28,0.619
320,HATS-32,1,1,1.10,1.10,0.057
321,HATS-33,1,1,1.02,1.06,-0.018
322,HATS-34,1,1,0.98,0.96,-0.140
323,HATS-35,1,1,1.43,1.32,0.465
324,HATS-36,1,1,1.10,1.10,0.215
325,HATS-37 A,2,1,0.88,0.84,-0.256
326,HATS-38,1,1,1.10,0.89,0.072
327,HATS-39,1,1,1.62,1.38,0.640
328,HATS-4,1,1,0.93,1.00,-0.187
329,HATS-40,1,1,2.26,1.56,0.903
330,HATS-41,1,1,1.71,1.50,0.653
331,HATS-42,1,1,1.48,1.27,0.425
332,HATS-43,1,1,0.81,0.84,-0.398
333,HATS-44,1,1,0.85,0.86,-0.398
334,HATS-45,1,1,1.32,1.27,0.425
335,HATS-46,1,1,0.85,0.92,-0.230
336,HATS-47,1,1,0.66,0.67,-0.796
337,HATS-48 A,2,1,0.72,0.73,-0.709
338,HATS-49,1,1,0.70,0.71,-0.785
339,HATS-5,1,1,0.87,0.94,-0.268
340,HATS-50,1,1,1.12,1.17,0.143
341,HATS-51,1,1,1.44,1.19,0.310
342,HATS-52,1,1,1.05,1.11,0.068
343,HATS-53,1,1,1.10,0.96,0.045
344,HATS-54,1,1,1.23,1.05,0.115
345,HATS-55,1,1,1.13,1.20,0.229
346,HATS-56,1,1,2.20,1.57,0.898
347,HATS-57,1,1,0.96,1.03,-0.094
348,HATS-58 A,2,1,1.43,1.46,0.689
349,HATS-59,1,2,1.04,1.04,-0.004
350,HATS-6,1,1,0.57,0.57,-1.100
351,HATS-60,1,1,1.46,1.10,0.300
352,HATS-61,1,1,1.66,1.08,0.369
353,HATS-62,1,1,0.93,0.90,-0.173
354,HATS-63,1,1,1.07,0.93,0.012
355,HATS-64,1,1,2.11,1.56,0.867
356,HATS-65,2,1,1.31,1.26,0.377
357,HATS-66,1,1,1.84,1.41,0.767
358,HATS-67,1,1,1.44,1.44,0.547
359,HATS-68,1,1,1.75,1.35,0.592
360,HATS-69,1,1,0.88,0.89,-0.318
361,HATS-7,1,1,0.82,0.85,-0.434
362,HATS-70,1,1,1.88,1.78,1.079
363,HATS-71,1,1,0.48,0.49,-1.560
364,HATS-72,1,1,0.72,0.73,-0.659
365,HATS-74 A,2,1,0.58,0.60,-1.216
366,HATS-75,1,1,0.58,0.60,-1.197
367,HATS-76,1,1,0.63,0.66,-1.038
368,HATS-77,1,1,0.64,0.66,-0.992
369,HATS-8,1,1,1.09,1.06,-0.025
370,HATS-9,1,1,1.56,1.10,0.312
371,HD 100546,1,1,1.85,2.40,1.500
372,HD 100655,2,1,10.06,2.28,1.633
373,HD 100777,1,1,1.04,1.08,0.021
374,HD 10180,1,6,1.11,1.06,0.173
375,HD 101930,2,1,0.86,0.57,-0.310
376,HD 102117,1,1,1.23,1.06,0.157
377,HD 102195,1,1,0.82,0.76,-0.334
378,HD 102272,1,1,10.30,1.45,1.662
379,HD 102329,1,2,9.82,3.21,1.292
380,HD 102365,2,1,0.95,0.85,-0.057
381,HD 102843,1,1,0.96,0.95,-0.138
382,HD 102956,2,1,4.55,1.66,1.064
383,HD 103197,1,1,0.88,0.80,-0.328
384,HD 103720,1,1,0.73,0.79,-0.458
385,HD 103774,2,1,1.58,1.33,0.544
386,HD 103891,1,1,2.22,1.28,0.786
387,HD 103949,1,1,0.75,0.77,-0.569
388,HD 104067,1,1,0.74,0.62,-0.513
389,HD 10442,1,1,1.97,1.01,0.310
390,HD 104985,1,1,11.12,1.22,1.770
391,HD 105618,1,2,1.27,1.01,0.180
392,HD 105779,1,1,0.94,0.89,-0.108
393,HD 106252,1,1,1.10,1.01,0.123
394,HD 106270,1,1,2.66,1.39,0.756
395,HD 106315,1,2,1.30,1.09,0.350
396,HD 10647,1,1,1.10,1.11,0.149
397,HD 106515 A,2,1,0.91,0.93,-0.164
398,HD 106906,1,1,2.12,1.50,0.750
399,HD 10697,1,1,1.86,0.99,0.477
400,HD 107148,2,2,1.17,1.12,0.121
401,HD 108147,1,1,1.21,1.22,0.303
402,HD 108202,1,1,0.66,0.74,-0.767
403,HD 108236,1,5,0.88,0.87,-0.150
404,HD 108341,2,1,0.79,0.84,-0.370
405,HD 108863,1,1,5.74,1.59,1.225
406,HD 108874,1,2,1.05,1.10,-0.001
407,HD 109246,1,1,1.07,1.20,0.100
408,HD 109271,1,2,1.29,1.05,0.301
409,HD 109286,1,1,1.09,0.98,-0.084
410,HD 109749,2,1,1.22,1.13,0.190
411,HD 10975,1,1,11.16,1.41,1.790
412,HD 109833,1,2,1.00,1.08,0.072
413,HD 109988,1,1,0.87,0.88,-0.307
414,HD 110014,1,1,20.90,2.17,2.304
415,HD 110082,2,1,1.19,1.21,0.281
416,HD 110113,1,2,0.97,1.00,-0.032
417,HD 110537,1,1,1.17,1.02,0.117
418,HD 11112,1,1,1.47,1.07,0.377
419,HD 111232,1,2,0.90,0.96,-0.161
420,HD 111591,1,1,8.03,1.94,1.581
421,HD 111998,1,1,1.45,1.40,0.512
422,HD 112300,1,1,65.80,1.40,2.701
423,HD 112640,1,1,39.00,1.80,2.453
424,HD 113337,1,2,1.50,1.41,0.632
425,HIP 8541,2,2,6.78,2.01,1.309
426,HD 113538,1,2,0.53,0.58,-1.046
427,HD 113996,2,1,25.11,1.49,2.464
428,HD 114082,1,1,1.49,1.47,0.583
429,HD 114386,1,1,0.76,0.60,-0.540
430,HD 114613,1,1,2.14,1.27,0.608
431,HD 114729,2,1,1.47,0.94,0.421
432,HD 114783,1,2,0.84,0.85,-0.372
433,HD 11505,1,1,1.20,1.03,0.151
434,HD 11506,1,3,1.24,1.12,0.337
435,HD 115404 A,1,2,0.73,0.83,-0.520
436,HD 115954,1,1,1.21,1.18,0.481
437,HD 116029,2,2,4.89,0.83,1.053
438,HD 117207,1,1,1.07,1.05,0.066
439,HD 11755,1,1,20.58,0.72,2.169
440,HD 117618,1,1,1.20,1.08,0.213
441,HD 118203,1,1,2.06,1.84,0.646
442,HD 11964,2,2,2.01,0.91,0.459
443,HD 11977,1,1,10.09,1.91,1.839
444,HD 120084,1,1,10.37,2.16,1.738
445,HD 121504,1,1,1.07,1.62,0.190
446,HD 12235,1,2,1.80,1.10,0.575
447,HD 122562,1,1,2.17,1.24,0.407
448,HD 124330,1,1,1.30,1.15,0.338
449,HD 12484,1,1,1.00,1.01,0.022
450,HD 125271,1,1,0.75,0.75,-0.604
451,HD 125390,1,1,6.47,1.82,1.124
452,HD 125595,1,1,0.74,0.29,-0.617
453,HD 125612,2,3,1.07,1.05,0.060
454,HD 12648,1,1,11.02,0.67,1.753
455,HD 126525,1,1,0.98,0.90,-0.040
456,HD 12661,1,2,1.20,1.20,0.133
457,HD 126614,3,1,1.37,0.96,0.083
458,HD 127506,1,1,0.74,0.73,-0.663
459,HD 128311,1,2,0.76,0.83,-0.512
460,HD 128356,1,1,0.85,0.65,-0.444
461,HD 129445,1,1,1.18,0.99,0.090
462,HD 130322,1,1,0.85,0.92,-0.235
463,HD 131496,1,1,4.44,1.34,0.991
464,HD 13167,1,1,2.39,1.35,0.960
465,HD 13189,1,1,38.41,2.24,2.636
466,HD 132406,1,1,1.34,1.03,0.260
467,HD 132563,3,1,1.30,1.23,0.374
468,HD 133131 A,2,3,0.96,0.95,-0.017
469,HD 133131 B,2,3,0.99,0.93,-0.009
470,HD 134060,1,2,1.16,1.09,0.158
471,HD 134987,1,2,1.22,1.10,0.255
472,HD 135625,1,1,1.36,1.28,0.344
473,HD 135872,1,1,3.93,1.65,0.937
474,HD 136118,1,1,1.68,1.18,0.569
475,HD 136352,1,3,1.06,0.87,0.016
476,HD 136418,1,1,3.78,1.48,0.833
477,HD 136925,1,1,1.19,0.88,0.134
478,HD 13724,1,1,1.04,1.00,0.055
479,HD 137388,1,1,0.88,0.68,-0.337
480,HD 137496,1,2,1.59,1.04,0.366
481,HD 13808,1,2,0.78,0.77,-0.435
482,HD 13908,1,2,1.67,1.29,0.602
483,HD 13931,1,1,1.25,1.30,0.196
484,HD 139357,1,1,11.47,2.69,1.823
485,HD 1397,1,1,2.34,1.32,0.660
486,HD 14067,1,1,12.40,2.40,1.898
487,HD 140901,1,2,0.95,0.99,-0.102
488,HD 141004,1,1,1.39,1.05,0.346
489,HD 141399,1,4,1.39,1.07,0.201
490,HD 141937,1,1,1.03,1.09,0.022
491,HD 142,2,3,1.41,1.21,0.474
492,HD 142022 A,2,1,1.04,0.90,0.004
493,HD 142245,3,1,4.63,3.50,1.130
494,HD 142415,1,1,1.04,1.07,0.060
495,HD 143105,1,1,1.65,1.51,0.556
496,HD 143361,1,1,0.92,0.97,-0.092
497,HD 144899,1,1,1.65,1.16,0.537
498,HD 145377,1,1,1.05,1.20,0.193
499,HD 145457,1,1,9.90,1.90,1.655
500,HD 145934,1,1,6.93,2.06,1.355
501,HD 1461,1,2,1.15,1.02,0.095
502,HD 147018,1,2,0.94,0.93,-0.148
503,HD 147379,2,1,0.63,0.58,-1.097
504,HD 147513,2,1,0.98,1.11,-0.010
505,HD 14787,1,1,5.01,1.43,1.115
506,HD 147873,2,2,2.29,1.38,0.777
507,HD 148156,1,1,1.21,1.22,0.250
508,HD 148164,1,2,1.34,1.21,0.330
509,HD 148427,1,1,3.86,1.64,0.780
510,HD 149026,1,1,1.41,1.42,0.480
511,HD 149143,1,1,1.44,1.20,0.350
512,HD 149806,1,1,0.89,0.93,-0.245
513,HD 150010,1,1,16.20,1.30,1.982
514,HD 1502,1,1,4.67,1.46,1.064
515,HD 150706,1,1,0.96,1.17,0.032
516,HD 151450,1,2,1.17,1.14,0.231
517,HD 152079,1,1,1.13,1.15,0.107
518,HD 152581,1,1,5.14,1.30,1.173
519,HD 152843,1,2,1.43,1.15,0.450
520,HD 15337,1,2,0.86,0.90,-0.326
521,HD 153557,1,3,0.75,0.79,-0.562
522,HD 153950,1,1,1.28,1.25,0.346
523,HD 154088,1,1,0.95,0.91,-0.131
524,HD 154345,1,1,0.85,0.71,-0.219
525,HD 154672,1,1,1.32,1.18,0.257
526,HD 154857,1,2,2.30,1.96,0.663
527,HD 155193,1,1,1.76,1.22,0.641
528,HD 155358,1,2,1.38,1.15,0.299
529,HD 155918,1,2,1.02,1.03,0.016
530,HD 156098,1,2,2.76,1.29,1.066
531,HD 156279,1,2,0.95,0.94,-0.146
532,HD 156411,1,1,2.16,1.25,0.731
533,HD 156668,1,2,0.72,0.77,0.230
534,HD 156846,2,1,1.90,1.38,0.697
535,HD 158038,1,1,4.50,1.30,1.076
536,HD 158259,1,5,1.21,1.08,0.212
537,HD 158996,1,1,50.30,1.80,3.015
538,HD 15906,1,2,0.76,0.79,-0.569
539,HD 159243,1,2,1.12,1.12,0.114
540,HD 159868,1,2,2.13,1.19,0.556
541,HD 1605,1,2,3.49,1.33,0.810
542,HD 160691,1,4,1.33,1.13,0.278
543,HD 161178,1,1,10.95,1.06,1.751
544,HD 16141,2,1,1.48,1.11,0.366
545,HD 16175,1,1,1.72,1.63,0.508
546,HD 162020,1,1,0.75,0.42,-0.602
547,HD 163607,1,2,1.76,1.12,0.420
548,HD 16417,2,1,1.64,1.20,0.443
549,HD 164509,2,1,1.11,1.12,0.120
550,HD 164595,2,1,1.02,0.99,0.017
551,HD 164604,1,1,0.77,0.77,-0.588
552,HD 164922,1,4,0.95,0.93,-0.149
553,HD 165131,1,1,1.06,1.06,0.083
