CT Cha b,Imaging,2007,Paranal Observatory,440.000000,24.660,5403.00000,-14.90929,296.65359,66,83
CoRoT-1 b,Transit,2008,CoRoT,0.027520,16.700,327.35000,-2.10712,215.33882,67,84
CoRoT-10 b,Transit,2010,CoRoT,0.105500,10.870,874.00000,-6.95299,37.36069,68,85
CoRoT-11 b,Transit,2010,CoRoT,0.043600,16.030,740.51000,4.63005,37.24009,69,86
CoRoT-12 b,Transit,2010,CoRoT,0.040160,16.140,291.43800,-2.45441,213.13155,70,87
CoRoT-13 b,Transit,2010,CoRoT,0.051000,9.920,415.70400,-2.43966,217.39860,71,88
CoRoT-14 b,Transit,2010,CoRoT,0.027000,12.220,2415.40000,-2.02059,218.11787,72,89
CoRoT-16 b,Transit,2011,CoRoT,0.061800,13.110,170.03200,1.10110,25.61433,73,90
CoRoT-17 b,Transit,2011,CoRoT,0.046100,11.430,772.29000,0.66631,25.15299,74,91
CoRoT-18 b,Transit,2011,CoRoT,0.029500,14.680,1102.82000,-4.18491,210.81910,75,92
CoRoT-19 b,Transit,2011,CoRoT,0.051800,14.460,352.78000,-5.26125,210.42057,76,93
CoRoT-2 b,Transit,2008,CoRoT,0.027980,16.432,1102.82000,-7.29102,38.26267,77,94
CoRoT-20 b,Transit,2011,CoRoT,0.090000,9.416,1366.66900,-4.46860,210.38123,78,95
CoRoT-20 c,Radial Velocity,2018,Multiple Observatories,2.900000,12.200,5403.11000,-4.46860,210.38123,78,96
CoRoT-21 b,Transit,2012,CoRoT,0.041700,14.572,718.29580,-1.74447,212.37415,79,97
CoRoT-22 b,Transit,2014,CoRoT,0.092000,4.880,12.20000,4.77500,37.48307,80,98
CoRoT-23 b,Transit,2011,CoRoT,0.048000,11.770,889.90000,4.71959,35.41749,81,99
CoRoT-24 b,Transit,2014,CoRoT,0.056000,3.700,5.70000,-2.52763,215.81744,82,100
CoRoT-24 c,Transit,2014,CoRoT,0.098000,5.000,28.00000,-2.52763,215.81744,82,101
CoRoT-25 b,Transit,2013,CoRoT,0.057800,12.110,85.81000,4.94113,37.73014,83,102
CoRoT-26 b,Transit,2013,CoRoT,0.052600,14.120,165.26000,5.92600,37.74453,84,103
CoRoT-27 b,Transit,2014,CoRoT,0.047600,11.287,3302.11000,6.39649,35.89455,85,104
CoRoT-28 b,Transit,2015,CoRoT,0.060300,10.705,153.82972,6.24131,36.01305,86,105
CoRoT-29 b,Transit,2015,CoRoT,0.038600,10.088,270.15550,6.45872,36.92336,87,106
CoRoT-3 b,Transit,2008,CoRoT,0.057830,11.320,6883.91000,-8.12065,37.26302,88,107
CoRoT-30 b,Transit,2020,CoRoT,0.084400,11.310,921.70700,7.77355,36.66096,89,108
CoRoT-31 b,Transit,2020,CoRoT,0.058600,16.365,266.97720,-9.16321,213.22491,90,109
CoRoT-35 b,Transit,2022,CoRoT,0.042900,18.831,349.61125,-7.00809,33.40059,91,110
CoRoT-36 b,Transit,2022,CoRoT,0.066000,15.805,216.12332,7.79576,37.04172,92,111
CoRoT-4 b,Transit,2008,CoRoT,0.090000,13.340,228.83000,-0.89847,213.22759,93,112
CoRoT-5 b,Transit,2009,CoRoT,0.049470,15.558,148.42000,-1.03620,211.48472,94,113
CoRoT-6 b,Transit,2009,CoRoT,0.085500,13.068,940.74000,4.61580,38.06304,95,114
CoRoT-7 b,Transit,2009,CoRoT,0.017016,1.681,4.07661,-2.17853,213.01042,96,115
CoRoT-7 c,Radial Velocity,2009,CoRoT,0.046000,2.830,8.40000,-2.17853,213.01042,96,116
CoRoT-7 d,Radial Velocity,2022,La Silla Observatory,,4.310,17.14200,-2.17853,213.01042,96,117
CoRoT-8 b,Transit,2010,CoRoT,0.063000,6.390,69.92000,-7.10426,38.21286,97,118
